1000 2000
809 740 153
137 186 107
293 782 121
830 161 101
2 657 53
422 639 83
245 8 97
898 922 101
357 81 1
248 956 3
151 474 13
439 76 37
373 996 81
483 61 51
968 330 53
627 949 93
91 723 77
745 968 111
522 38 1
914 526 53
939 846 73
695 99 167
891 262 141
795 733 101
204 846 153
958 219 103
286 631 57
505 508 121
308 684 1
843 110 103
16 897 133
676 592 97
90 464 101
384 698 51
940 50 153
614 403 113
650 443 137
857 683 131
320 129 1
134 858 153
756 510 93
943 329 127
462 908 61
48 992 101
949 528 153
209 47 123
460 522 117
795 809 41
300 940 1
918 150 103
100 650 153
889 96 57
943 297 121
475 88 51
797 98 53
371 698 33
396 288 97
203 862 51
312 32 1
587 56 53
144 465 13
667 754 87
259 205 81
223 840 101
227 303 53
714 933 143
249 533 77
53 517 161
474 663 1
623 842 103
745 144 73
921 331 117
284 733 141
938 457 51
931 828 153
225 604 153
822 839 57
41 942 71
838 969 1
714 678 53
455 40 133
573 256 47
564 579 101
232 866 101
908 742 153
107 610 63
284 804 137
250 358 81
893 108 1
852 892 103
343 71 93
187 292 177
917 401 61
589 387 51
779 558 153
978 225 73
110 888 117
103 157 91
380 998 1
515 23 153
756 838 153
704 814 107
998 869 121
708 524 101
541 14 53
920 238 83
964 634 97
585 760 101
984 776 1
141 1 3
828 814 13
8 603 37
402 918 81
880 742 51
729 19 53
38 316 93
306 894 77
230 16 111
864 156 1
768 859 53
790 531 73
552 632 167
443 573 141
883 793 101
812 763 153
731 224 103
729 294 57
988 682 121
547 842 1
216 481 103
339 133 133
824 58 97
927 798 101
469 607 51
17 505 153
254 773 113
816 538 137
730 112 131
51 807 1
664 461 153
811 35 93
125 632 127
312 121 61
686 16 101
375 550 153
391 912 123
99 850 117
787 775 41
226 544 1
172 810 103
57 547 153
877 960 57
34 163 121
335 479 51
292 209 53
865 981 33
628 440 97
596 97 51
411 668 1
221 603 53
192 568 13
492 402 87
824 706 81
653 676 101
963 297 53
364 915 143
280 634 77
703 30 161
476 335 1
823 437 103
831 978 73
79 322 117
295 465 141
151 860 51
250 570 153
835 429 153
453 832 57
40 686 71
258 262 1
575 954 53
138 636 133
806 345 47
607 216 101
682 806 101
182 462 153
81 218 63
491 35 137
712 898 81
317 470 1
72 455 103
747 17 93
190 925 177
855 919 61
827 566 51
842 102 153
289 15 73
296 470 117
759 52 91
190 226 1
351 96 153
273 823 153
270 423 107
792 395 121
596 111 101
45 761 53
69 555 83
752 689 97
999 275 101
405 277 1
613 673 3
175 833 13
651 949 37
596 194 81
690 123 51
339 91 53
902 155 93
180 803 77
55 482 111
183 259 1
149 503 53
911 743 73
895 129 167
808 828 141
862 807 101
423 65 153
197 471 103
321 624 57
636 595 121
207 302 1
102 176 103
528 329 133
343 689 97
879 266 101
66 429 51
807 691 153
369 676 113
588 3 137
38 511 131
84 927 1
266 601 153
310 11 93
813 792 127
201 826 61
109 240 101
840 930 153
234 731 123
692 412 117
105 385 41
123 411 1
439 590 103
968 938 153
450 605 57
595 530 121
954 335 51
979 740 53
285 185 33
472 325 97
963 996 51
270 656 1
519 86 53
55 392 13
527 602 87
928 909 81
974 379 101
511 614 53
280 431 143
131 345 77
166 18 161
996 423 1
139 600 103
821 43 73
645 303 117
399 316 141
656 347 51
304 817 153
431 388 153
956 637 57
461 438 71
26 340 1
548 256 53
187 124 133
964 943 47
758 743 101
877 859 101
168 488 153
520 905 63
98 940 137
659 915 81
123 171 1
636 638 103
847 502 93
72 10 177
424 492 61
484 487 51
405 784 153
620 350 73
840 133 117
602 253 91
404 757 1
601 520 153
798 869 153
298 380 107
227 253 121
527 197 101
755 784 53
846 795 83
68 999 97
249 104 101
650 722 1
548 829 3
246 113 13
798 678 37
701 936 81
43 323 51
618 266 53
705 841 93
350 119 77
945 520 111
551 65 1
33 5 53
951 155 73
808 275 167
598 315 141
121 270 101
907 970 153
572 145 103
359 921 57
577 704 121
850 238 1
871 408 103
114 407 133
444 414 97
601 502 101
365 189 51
646 550 153
616 948 113
143 693 137
936 439 131
230 251 1
505 20 153
9 282 93
517 177 127
479 894 61
807 877 101
607 918 153
941 132 123
763 411 117
659 743 41
405 849 1
502 547 103
177 605 153
837 544 57
612 214 121
223 173 51
683 862 53
569 618 33
318 578 97
775 503 51
38 904 1
990 859 53
677 729 13
311 951 87
902 695 81
78 316 101
397 705 53
35 586 143
807 149 77
73 835 161
645 173 1
93 735 103
373 765 73
833 545 117
506 955 141
546 297 51
165 920 153
447 532 153
235 830 57
75 921 71
489 3 1
317 837 53
286 949 133
77 666 47
360 662 101
121 771 101
146 435 153
242 211 63
876 63 137
705 727 81
787 149 1
694 337 103
611 165 93
154 918 177
842 22 61
762 626 51
486 334 153
39 227 73
562 406 117
84 211 91
589 346 1
136 290 153
492 503 153
869 987 107
465 653 121
712 309 101
459 71 53
658 461 83
360 120 97
670 99 101
529 745 1
172 322 3
245 481 13
101 852 37
24 540 81
176 477 51
173 959 53
853 774 93
210 754 77
376 118 111
339 686 1
967 884 53
593 970 73
312 111 167
325 289 141
445 65 101
712 382 153
145 794 103
276 723 57
944 529 121
320 454 1
745 320 103
488 285 133
663 593 97
300 275 101
201 651 51
858 108 153
239 258 113
342 805 137
30 22 131
809 735 1
813 26 153
815 654 93
185 656 127
325 901 61
126 827 101
339 660 153
151 429 123
535 365 117
79 794 41
610 491 1
985 540 103
847 652 153
645 225 57
633 873 121
693 834 51
580 243 53
927 637 33
575 224 97
67 893 51
760 110 1
327 224 53
816 312 13
561 322 87
81 263 81
429 177 101
765 770 53
872 32 143
289 8 77
660 255 161
242 949 1
684 483 103
566 156 73
595 770 117
271 165 141
840 554 51
179 471 153
581 186 153
263 967 57
40 353 71
750 602 1
465 686 53
236 351 133
277 975 47
328 728 101
643 38 101
954 378 153
589 969 63
624 75 137
977 49 81
31 116 1
752 285 103
576 360 93
806 392 177
273 828 61
228 472 51
862 726 153
291 321 73
272 115 117
586 817 91
573 547 1
73 477 153
631 680 153
30 428 107
73 392 121
352 10 101
992 734 53
555 568 83
871 480 97
276 506 101
981 732 1
965 697 3
970 540 13
594 690 37
664 885 81
149 70 51
791 66 53
15 459 93
683 318 77
832 292 111
626 754 1
889 405 53
369 707 73
504 945 167
446 488 141
149 567 101
67 930 153
826 410 103
713 204 57
487 689 121
284 822 1
127 78 103
446 837 133
189 786 97
830 325 101
859 361 51
690 601 153
573 970 113
154 970 137
593 98 131
847 367 1
169 441 153
292 76 93
429 61 127
500 670 61
898 894 101
548 29 153
344 554 123
162 203 117
435 777 41
335 212 1
175 731 103
601 862 153
810 889 57
188 28 121
548 466 51
545 589 53
738 367 33
191 466 97
52 929 51
362 377 1
643 329 53
649 19 13
663 504 87
492 68 81
408 896 101
542 60 53
348 635 143
623 793 77
824 562 161
853 96 1
602 929 103
173 956 73
607 569 117
380 805 141
552 894 51
27 93 153
426 770 153
162 639 57
454 305 71
451 57 1
190 127 53
339 660 133
449 599 47
181 601 101
265 838 101
544 495 153
955 591 63
825 450 137
111 23 81
20 669 1
217 668 103
919 539 93
766 674 177
367 218 61
283 166 51
448 354 153
443 134 73
391 677 117
519 752 91
162 591 1
595 547 153
266 488 153
847 460 107
760 919 121
11 81 101
814 41 53
838 27 83
87 531 97
609 943 101
929 652 1
223 357 3
586 398 13
952 565 37
209 415 81
102 55 51
382 555 53
400 202 93
37 908 77
949 144 111
695 932 1
883 152 53
546 850 73
249 115 167
346 604 141
481 234 101
519 780 153
618 752 103
897 654 57
389 981 121
313 353 1
782 66 103
50 539 133
686 300 97
952 834 101
975 11 51
208 81 153
959 18 113
776 591 137
944 908 131
368 855 1
31 884 153
889 619 93
780 53 127
341 377 61
777 228 101
72 843 153
39 411 123
605 154 117
277 784 41
188 915 1
371 333 103
874 517 153
822 752 57
377 705 121
228 446 51
290 635 53
26 212 33
336 752 97
756 566 51
575 80 1
494 531 53
397 646 13
160 81 87
111 262 81
119 581 101
391 511 53
786 214 143
429 881 77
177 339 161
300 808 1
605 369 103
407 553 73
356 217 117
467 476 141
100 426 51
878 299 153
570 635 153
744 162 57
939 595 71
97 984 1
274 301 53
363 317 133
139 286 47
538 836 101
313 209 101
273 619 153
851 917 63
711 776 137
27 885 81
434 494 1
866 64 103
298 825 93
854 962 177
114 735 61
598 379 51
786 767 153
928 535 73
144 742 117
624 853 91
256 607 1
708 316 153
337 498 153
709 627 107
122 729 121
169 647 101
702 79 53
311 818 83
740 778 97
618 690 101
353 275 1
170 152 3
26 12 13
919 322 37
853 529 81
631 980 51
639 905 53
890 522 93
75 751 77
428 169 111
489 92 1
492 151 53
278 751 73
730 319 167
803 1000 141
718 905 101
552 177 153
118 466 103
898 446 57
136 920 121
154 367 1
57 97 103
368 467 133
277 909 97
920 551 101
993 512 51
820 104 153
364 28 113
250 597 137
389 263 131
551 120 1
361 681 153
412 167 93
948 241 127
640 54 61
122 32 101
23 815 153
534 470 123
586 589 117
403 771 41
310 485 1
658 993 103
353 261 153
275 592 57
482 418 121
54 250 51
441 565 53
412 305 33
415 149 97
130 461 51
423 843 1
543 114 53
749 610 13
198 729 87
829 286 81
694 158 101
767 238 53
111 243 143
186 317 77
295 602 161
919 117 1
463 640 103
392 245 73
88 745 117
584 437 141
873 942 51
340 78 153
413 534 153
395 360 57
689 268 71
866 134 1
156 493 53
586 981 133
850 261 47
646 813 101
386 339 101
512 7 153
622 929 63
180 864 137
186 488 81
791 212 1
657 100 103
185 815 93
869 644 177
105 848 61
846 150 51
87 967 153
685 256 73
144 216 117
569 113 91
989 320 1
858 225 153
598 807 153
276 678 107
117 151 121
701 936 101
149 836 53
930 416 83
909 133 97
935 245 101
335 962 1
783 966 3
351 174 13
763 303 37
128 855 81
701 230 51
632 428 53
680 205 93
983 646 77
368 813 111
372 858 1
904 704 53
385 541 73
644 968 167
624 369 141
987 887 101
318 536 153
882 910 103
439 102 57
293 10 121
770 987 1
718 107 103
918 753 133
403 135 97
93 524 101
652 791 51
808 760 153
258 624 113
4 967 137
718 205 131
443 186 1
985 267 153
365 503 93
191 773 127
297 189 61
994 433 101
79 572 153
292 74 123
656 400 117
933 856 41
360 848 1
846 437 103
218 657 153
44 512 57
52 929 121
346 104 51
101 433 53
80 601 33
565 514 97
568 411 51
332 363 1
243 844 53
678 209 13
599 58 87
276 569 81
828 654 101
62 434 53
639 941 143
89 607 77
198 97 161
427 347 1
454 239 103
263 821 73
705 786 117
853 550 141
836 280 51
344 577 153
232 499 153
431 443 57
550 819 71
212 411 1
233 570 53
257 971 133
223 25 47
69 223 101
472 625 101
265 318 153
938 324 63
287 247 137
252 932 81
941 542 1
554 668 103
830 807 93
345 335 177
50 921 61
563 413 51
984 639 153
716 557 73
313 859 117
62 543 91
502 844 1
274 25 153
548 578 153
968 829 107
463 471 121
625 369 101
85 520 53
555 231 83
981 820 97
245 270 101
24 700 1
556 569 3
646 988 13
125 782 37
908 65 81
819 881 51
893 900 53
131 906 93
574 270 77
447 132 111
774 972 1
456 872 53
622 693 73
871 385 167
382 640 141
557 905 101
688 244 153
650 773 103
344 451 57
731 396 121
500 502 1
663 326 103
209 7 133
693 394 97
415 411 101
14 904 51
597 486 153
656 968 113
431 676 137
574 451 131
79 549 1
186 593 153
387 424 93
236 114 127
454 811 61
928 769 101
392 722 153
35 693 123
810 646 117
422 66 41
221 192 1
46 649 103
771 846 153
562 331 57
937 957 121
167 811 51
50 153 53
690 132 33
543 984 97
444 816 51
510 109 1
458 948 53
665 684 13
573 168 87
985 249 81
974 411 101
922 446 53
423 238 143
296 68 77
327 920 161
642 434 1
964 682 103
663 780 73
285 236 117
126 310 141
904 864 51
746 177 153
186 964 153
942 220 57
189 766 71
253 807 1
55 668 53
525 644 133
529 609 47
869 264 101
756 71 101
596 176 153
707 113 63
748 551 137
469 903 81
648 495 1
985 376 103
553 870 93
328 299 177
463 339 61
533 335 51
758 337 153
792 292 73
583 435 117
947 529 91
577 32 1
780 408 153
623 362 153
181 750 107
835 609 121
696 47 101
467 974 53
791 306 83
20 764 97
987 416 101
941 689 1
219 323 3
341 110 13
896 957 37
958 571 81
534 366 51
740 999 53
142 699 93
393 574 77
138 843 111
75 124 1
472 563 53
953 584 73
394 436 167
394 301 141
389 691 101
702 557 153
137 706 103
537 191 57
200 246 121
61 747 1
651 321 103
70 579 133
545 1000 97
356 340 101
65 167 51
853 53 153
187 795 113
554 344 137
674 616 131
619 870 1
340 252 153
84 872 93
677 132 127
42 899 61
424 495 101
609 764 153
856 656 123
976 444 117
206 511 41
40 525 1
724 633 103
944 78 153
121 535 57
260 140 121
942 293 51
567 658 53
73 212 33
271 505 97
895 546 51
248 579 1
872 256 53
868 365 13
517 772 87
561 60 81
533 416 101
515 169 53
841 219 143
588 975 77
908 327 161
377 268 1
15 282 103
39 639 73
636 57 117
990 433 141
961 186 51
940 135 153
735 761 153
181 399 57
668 365 71
554 376 1
750 115 53
863 719 133
113 36 47
186 472 101
763 627 101
984 433 153
213 929 63
994 813 137
196 332 81
745 272 1
170 197 103
901 422 93
327 994 177
668 657 61
147 964 51
913 139 153
504 225 73
315 264 117
44 188 91
296 623 1
93 643 153
778 211 153
128 713 107
624 901 121
579 493 101
888 349 53
393 20 83
772 161 97
78 851 101
762 804 1
764 463 3
528 650 13
29 40 37
808 299 81
338 451 51
480 743 53
355 31 93
462 121 77
16 178 111
746 719 1
959 445 53
780 560 73
935 693 167
423 255 141
773 980 101
974 376 153
525 55 103
679 936 57
907 609 121
661 425 1
434 129 103
618 398 133
893 895 97
284 20 101
708 932 51
871 570 153
97 74 113
628 747 137
140 322 131
121 937 1
548 477 153
592 620 93
15 301 127
108 811 61
611 661 101
202 954 153
45 662 123
125 948 117
939 787 41
340 707 1
701 719 103
975 15 153
641 486 57
648 923 121
320 145 51
591 462 53
962 886 33
449 888 97
249 592 51
489 115 1
965 906 53
71 301 13
315 786 87
41 779 81
76 780 101
503 623 53
299 347 143
659 173 77
895 999 161
673 675 1
290 932 103
723 343 73
393 968 117
224 941 141
749 151 51
886 481 153
449 506 153
221 290 57
732 605 71
102 528 1
241 88 53
956 848 133
542 921 47
986 421 101
211 847 101
774 297 153
67 818 63
564 348 137
335 465 81
605 179 1
537 268 103
593 29 93
126 68 177
147 922 61
912 751 51
205 630 153
27 448 73
428 637 117
134 447 91
948 390 1
364 781 153
639 725 153
476 771 107
394 804 121
941 35 101
129 409 53
606 598 83
300 438 97
413 183 101
193 69 1
815 529 3
941 538 13
840 509 37
725 582 81
890 462 51
466 41 53
715 233 93
964 536 77
770 590 111
118 295 1
947 620 53
107 848 73
988 861 167
390 877 141
150 661 101
944 474 153
296 1 103
830 967 57
512 133 121
665 989 1
524 871 103
619 286 133
744 618 97
758 177 101
16 909 51
871 430 153
209 542 113
395 352 137
379 377 131
944 73 1
225 989 153
831 594 93
556 368 127
89 419 61
693 706 101
448 799 153
18 176 123
183 364 117
819 266 41
108 42 1
941 191 103
181 841 153
702 639 57
465 416 121
818 298 51
665 243 53
182 639 33
63 989 97
691 127 51
325 422 1
917 219 53
976 295 13
629 179 87
630 4 81
659 24 101
647 160 53
80 36 143
505 951 77
523 433 161
494 944 1
243 376 103
257 394 73
452 531 117
694 626 141
605 140 51
610 993 153
842 488 153
307 2 57
581 278 71
593 493 1
106 420 53
14 669 133
938 36 47
761 905 101
889 659 101
577 481 153
628 659 63
48 559 137
517 801 81
22 113 1
402 105 103
176 476 93
242 704 177
969 19 61
297 243 51
863 608 153
118 198 73
1 417 117
755 456 91
264 175 1
134 37 153
515 747 153
454 563 107
831 26 121
47 569 101
726 235 53
225 13 83
184 934 97
13 45 101
1 1000 2000
